"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Radio-Bug","Leeds","","53.8","-1.5","Radio Paris.","Paris","France","48.9","2.4","Radio-Bug (Leeds): Radio Paris."
"Grid Bias","Liverpool","UK","53.4","-3.0","Stettin relaying Berlin.","Berlin","Germany","52.5","13.4","Grid Bias (Liverpool): Stettin relaying Berlin."
"Hill Annesley","","","","W.L. too vague.","","","","","Hill Annesley: W.L. too vague. (4.15) Madrid (EAJ7)."
"Hill Annesley","","","","(4.15) Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Hill Annesley: W.L. too vague. (4.15) Madrid (EAJ7)."
"Unidyne Unstone","","","","Yes, WGY (Schenectady).","Schenectady","USA","42.8","-73.9","Unidyne Unstone: Yes, WGY (Schenectady)."
"Archer","","","","Item not advertised, but presumably relay of PTT, Paris.","Paris","France","48.9","2.4","Archer: Item not advertised, but presumably relay of PTT, Paris."
"P.O. Merthyr","","","","Cannot trace.","","","","","P.O. Merthyr: Cannot trace."
"Mascot","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Mascot: Moscow (RDW)."
"Crystavox","Cardiff","UK","51.5","-3.2","KDKA (Pittsburg).","Pittsburgh","USA","40.4","-79.9","Crystavox (Cardiff): KDKA (Pittsburg)."
"Quid","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Quid: Moscow (RDW)."
"G.H.E.D.","Co. Tyrone","UK","","","Private Station (Paris).","Paris","France","48.9","2.4","G.H.E.D. (Co. Tyrone): Private Station (Paris)."
"Welshman","","","","Cannot trace.","","","","","Welshman: Cannot trace."
"Secat","","","","Private a.m. priori vate station (Paris).","Paris","France","48.9","2.4","Secat: Private a.m. priori vate station (Paris)."
"D.X. Fan","","","","(1) cannot trace","Madrid","Spain","40.4","-3.7","D.X. Fan: (1) cannot trace (2) Madrid (EAJ7). (3) Buda-Pesth (4) cannot trace."
"D.X. Fan","","","","(2) Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","D.X. Fan: (1) cannot trace (2) Madrid (EAJ7). (3) Buda-Pesth (4) cannot trace."
"D.X. Fan","","","","(3) Buda-Pesth","Budapest","Hungary","47.5","19.0","D.X. Fan: (1) cannot trace (2) Madrid (EAJ7). (3) Buda-Pesth (4) cannot trace."
"D.X. Fan","","","","(4) cannot trace.","","","","","D.X. Fan: (1) cannot trace (2) Madrid (EAJ7). (3) Buda-Pesth (4) cannot trace."
"R.A.I.","Colchester","UK","51.9","0.9","Moscow (RDW).","Moscow","Russia","55.8","37.6","R.A.I. (Colchester): Moscow (RDW)."
"Red Flex","Torquay","UK","50.5","-3.5","Probably a.m. or p.m.? Probably British amateur.","","","","","Red Flex (Torquay): Probably a.m. or p.m.? Probably British amateur."
"Tu Doces","","","","Probably amateur.","","","","","Tu Doces: Probably amateur."
"Birdie","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Birdie: Madrid (EAJ7)."
"Scotty","","","","Burns’ Night (Dundee).","Dundee","UK","56.5","-2.9","Scotty: Burns’ Night (Dundee)."
"Carbamidc","","","","PTT, Lyons.","Lyon","France","45.8","4.8","Carbamidc: PTT, Lyons."
"Hargi 2ZY","","","","Possibly WJZ (Boundbrook); 454.3 M.","Bound Brook","USA","40.6","-74.5","Hargi 2ZY: Possibly WJZ (Boundbrook); 454.3 M."
"Indoor Aerial","Newton Abbot","UK","50.5","-3.6","Brussels.","Brussels","Belgium","50.8","4.3","Indoor Aerial (Newton Abbot): Brussels."
"P.C.B.W.","","","","Cannot trace probably Vienna testing.","Vienna","Austria","48.2","16.4","P.C.B.W.: Cannot trace probably Vienna testing."
"T.H.B.","","","","Lyons, relay of PTT (Paris).","Lyon","France","45.8","4.8","T.H.B.: Lyons, relay of PTT (Paris)."
"Ealm","","","","too vague.","","","","","Ealm: too vague."
"Stan","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","Stan: Madrid (EAJ6)."
"Sappho","Bolton","UK","53.6","-2.4","Possibly WBZ (333 a.m.). Cannot confirm, possibly KWSC (Washington).","Washington","USA","38.9","-77.0","Sappho (Bolton): Possibly WBZ (333 a.m.). Cannot confirm, possibly KWSC (Washington)."
"Pan","","","","Moscow (RDW).","Moscow","Russia","55.8","37.6","Pan: Moscow (RDW)."
"L.A.P.","Spalding","UK","52.8","-0.2","Cannot confirm, but possibly Muenster relaying Cologne.","Muenster","Germany","51.9","7.6","L.A.P. (Spalding): Cannot confirm, but possibly Muenster relaying Cologne."
"N.W. 2 Valve","","","","Berne (Switzerland).","Bern","Switzerland","46.9","7.4","N.W. 2 Valve: Berne (Switzerland)."
"Turby","","","","San Sebastian.","San Sebastian","Spain","43.3","-1.9","Turby: San Sebastian."
"Law Hill","Dundee","UK","56.5","-2.9","Koenigswusterhausen.","Koenigswusterhausen","Germany","52.3","13.6","Law Hill (Dundee): Koenigswusterhausen."
"773H","","","","Kiel relaying Hamburg.","Kiel","Germany","54.3","10.1","773H: Kiel relaying Hamburg."
"G.J.F","","","","Cannot trace.","","","","","G.J.F: Cannot trace."
"Stiff","","","","Madrid (EAJ6).","Madrid","Spain","40.4","-3.7","Stiff: Madrid (EAJ6)."
"Interested","Guis","","","","W.L. wrong, cannot trace.","","","","","Interested (Guis): W.L. wrong, cannot trace."
"J.H.B.","Bristol","UK","51.5","-2.6","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","J.H.B. (Bristol): Madrid (EAJ7)."
"V.","Harrogate","UK","54.0","-1.5","Koenigswusterhausen (Press).","Koenigswusterhausen","Germany","52.3","13.6","V. (Harrogate): Koenigswusterhausen (Press)."
"Crackpot","","","","Cannot trace.","","","","","Crackpot: Cannot trace."
"Donaghadee","","","","KGO (Oakland).","Oakland","USA","37.8","-122.3","Donaghadee: KGO (Oakland)."
"Radmad","Folkestone","UK","51.1","1.2","Cannot confirm, but would tally with Leningrad.","Saint Petersburg","Russia","59.9","30.3","Radmad (Folkestone): Cannot confirm, but would tally with Leningrad."
"Schoolboy","","","","Koenigswusterhausen.","Koenigswusterhausen","Germany","52.3","13.6","Schoolboy: Koenigswusterhausen."
"Valve Pin","Newcastle-on-Tyne","UK","54.9","-1.6","Moscow (RDW).","Moscow","Russia","55.8","37.6","Valve Pin (Newcastle-on-Tyne): Moscow (RDW)."
"D.H.S.M.","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","D.H.S.M.: Madrid (EAJ7)."
"H.L.","Belfast","UK","54.6","-5.9","Probably WJZ (Boundbrook).","Bound Brook","USA","40.6","-74.5","H.L. (Belfast): Probably WJZ (Boundbrook)."
"Spall","","","","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Spall: Madrid (EAJ7)."
"Unidyne","","","","Too vague.","","","","","Unidyne: Too vague."
"Earth Ground","Crete","Greece","35.2","24.9","Madrid (EAJ7).","Madrid","Spain","40.4","-3.7","Earth Ground (Crete): Madrid (EAJ7)."
"Opium","","","","Cannot trace, unless Salamanca (EAJ22), but no programmes available.","Salamanca","Spain","40.9","-5.7","Opium: Cannot trace, unless Salamanca (EAJ22), but no programmes available."
"J.H.B.","Bristol","UK","51.5","-2.6","Prague.","Prague","Czech Republic","50.1","14.4","J.H.B. (Bristol): Prague."
"Jackobean","North Wales","UK","","","WJZ (Boundbrook).","Bound Brook","USA","40.6","-74.5","Jackobean (North Wales): WJZ (Boundbrook)."
"2EJ","","","","(1) Rome (Masked Ball);","Rome","Italy","41.9","12.5","2EJ: (1) Rome (Masked Ball); (2) Muenster; (3) cannot trace on that W. I.; (4) San Sebastian or Madrid (EAJ4)."
"2EJ","","","","(2) Muenster;","Muenster","Germany","51.9","7.6","2EJ: (1) Rome (Masked Ball); (2) Muenster; (3) cannot trace on that W. I.; (4) San Sebastian or Madrid (EAJ4)."
"2EJ","","","","(3) cannot trace on that W. I.","","","","","2EJ: (1) Rome (Masked Ball); (2) Muenster; (3) cannot trace on that W. I.; (4) San Sebastian or Madrid (EAJ4)."
"2EJ","","","","(4) San Sebastian or Madrid (EAJ4).","San Sebastian","Spain","43.3","-1.9","2EJ: (1) Rome (Masked Ball); (2) Muenster; (3) cannot trace on that W. I.; (4) San Sebastian or Madrid (EAJ4)."
"Reinartz Short-Wave Set","","","","German amateur.","","","","","Reinartz Short-Wave Set: German amateur."
"Reinartz Two-Valve","","","","Surely Cardiff.","Cardiff","UK","51.5","-3.2","Reinartz Two-Valve: Surely Cardiff."
