"reporter_name","reporter_location_city","reporter_location_country","reporter_location_latitude","reporter_location_longitude","observation_text","station_location_city","station_location_country","station_location_latitude","station_location_longitude","full_text"
"Reinartz","Sunderland","","","","Cannot trace Morse stations.","","","","Reinartz (Sunderland): Cannot trace Morse stations."
"Tombo","Bayswater","","","","No, not Edinburgh; not advertised in programmes, possibly an amateur.","","","","Tombo (Bayswater): No, not Edinburgh; not advertised in programmes, possibly an amateur."
"Galahad","Sheffield","","","","Kalundborg, relaying Copenhagen (a relay of foreign stations).","Kalundborg","Denmark","55.7","9.5","Galahad (Sheffield): Kalundborg, relaying Copenhagen (a relay of foreign stations)."
"Ard-Na-Greine","Bridlington","","","","Leningrad.","Saint Petersburg","Russia","59.9","30.3","Ard-Na-Greine (Bridlington): Leningrad."
"Pandora","","","","","This was Langenberg, relaying the reception of Colonel Lindbergh at Washington; it was taken by many U.S.A. stations and rebroadcast by most of the German transmitters.","Langenberg","Germany","51.4","7.2","Pandora: This was Langenberg, relaying the reception of Colonel Lindbergh at Washington; it was taken by many U.S.A. stations and rebroadcast by most of the German transmitters."
"Ernest Ward","","","","","You do not state time, regret cannot trace.","","","","Ernest Ward: You do not state time, regret cannot trace."
"Stromness","","","","","WJZ (Boundbrook); (2) we cannot trace any station working so late on that date possibly an amateur transmission.","Bound Brook","USA","40.6","-74.5","Stromness: WJZ (Boundbrook); (2) we cannot trace any station working so late on that date possibly an amateur transmission."
"Star","Cheyne Walk","","","","Yes, Kaiserslautern, relaying Munich.","Kaiserslautern","Germany","49.4","7.8","Star (Cheyne Walk): Yes, Kaiserslautern, relaying Munich."
"Peer Gynt","Ibsen","","","","Yes.","","","","Peer Gynt (Ibsen): Yes."
"HF.42","","","","","(a) yes, 3LO (Melbourne) received direct; (2) no, both British amateurs, but cannot trace call signs.","Melbourne","Australia","-37.8","144.9","HF.42: (a) yes, 3LO (Melbourne) received direct; (2) no, both British amateurs, but cannot trace call signs."
"Ariel","Suffolk","","","","7RL, a radio journal’s transmitter at Copenhagen.","Copenhagen","Denmark","55.7","12.6","Ariel (Suffolk): 7RL, a radio journal’s transmitter at Copenhagen."
"Rathgar","Co. Dublin","Ireland","53.3","-6.3","Cologne relaying the reception of Colonel Lindbergh from Washington; this was taken by many U.S.A. stations and re-broadcast by most of the German transmitters.","Cologne","Germany","50.9","6.9","Rathgar (Co. Dublin): Cologne relaying the reception of Colonel Lindbergh from Washington; this was taken by many U.S.A. stations and re-broadcast by most of the German transmitters."
"Office Hyacinth","Blackburn","","","","We regret that notwithstanding the details you give, it is impossible to trace stations other than for Daventry we can tell you that No. 8 was Radio Paris.","Paris","France","48.9","2.4","Office Hyacinth (Blackburn): We regret that notwithstanding the details you give, it is impossible to trace stations other than for Daventry we can tell you that No. 8 was Radio Paris."
"Flat Foot","Dublin","Ireland","53.3","-6.3","(1) Kattowitz (election results with gramophone records in the intervals); (2) Posen, broadcasting election results (gramophone records in the intervals).","Katowice","Poland","50.3","19.0","Flat Foot (Dublin): (1) Kattowitz (election results with gramophone records in the intervals); (2) Posen, broadcasting election results (gramophone records in the intervals)."
"Graham","Gildard, Glasgow","","","","Your details are much too vague to trace; some estimate of WL. must be given.","","","","Graham (Gildard, Glasgow): Your details are much too vague to trace; some estimate of WL. must be given."
"Dora","Dartford","","","","Inquirer (Birmingham); Nightwork (Gosforth): This was a German relay of the reception of Colonel Lindbergh at Washington.","","","","Dora (Dartford): Inquirer (Birmingham); Nightwork (Gosforth): This was a German relay of the reception of Colonel Lindbergh at Washington."
"F.E.C.","Chelmsford","","","","Langenberg, relaying variety concert from Cologne.","Langenberg","Germany","51.4","7.2","F.E.C. (Chelmsford): Langenberg, relaying variety concert from Cologne."
"A.B.","Coventry","","","","W.L. wrong; Kattowitz, a talk in English by Prof. R. Dyboski; “Poland Past and Present.”","Katowice","Poland","50.3","19.0","A.B. (Coventry): W.L. wrong; Kattowitz, a talk in English by Prof. R. Dyboski; “Poland Past and Present.”"
"H.S.","Wallington","","","","PPT Lille relaying from the Lilliana Dance Hall.","Lille","France","50.6","3.1","H.S. (Wallington): PPT Lille relaying from the Lilliana Dance Hall."
